"TOA5","21492","CR1000X","21492","CR1000X.Std.04.02","CPU:Lab2.CR1X","33475","SlowResponse"
"TIMESTAMP","RECORD","AirTC","RH","windSpeed","windDirection","gustWindSpeed","AirTemp"
"TS","RN","Deg C","%","m/s","deg","m/s","degC"
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-01-25 20:27:00",186,0.04973602,40.66711,0.05,35.6,0.05,-0.5
"2022-01-25 20:28:00",187,0.02099609,40.68266,0.61,231.5,0.61,-0.2
"2022-01-25 20:29:00",188,0.01708221,40.70403,0.44,185.5,0.44,-0.4
"2022-01-25 20:30:00",189,0.02323914,40.72691,0.32,5.5,0.32,-0.4
"2022-01-25 20:31:00",190,0.005180359,40.7346,0.33,293.7,0.33,-0.6
"2022-01-25 20:32:00",191,-0.07530975,40.64192,0.31,249.4,0.31,-0.4
"2022-01-25 20:33:00",192,-0.08419037,40.70477,0.51,206,0.51,-0.4
"2022-01-25 20:34:00",193,-0.1068039,40.71366,0.4,212.8,0.4,-0.4
"2022-01-25 20:35:00",194,-0.1118011,40.74081,0.57,308.9,0.57,-0.6
"2022-01-25 20:36:00",195,-0.1445618,40.76213,0.42,334.2,0.42,-0.8
"2022-01-25 20:37:00",196,-0.1956253,40.69836,0.52,130.9,0.52,-0.4
"2022-01-25 20:38:00",197,-0.2223511,40.76638,0.64,279.1,0.64,-0.2
"2022-01-25 20:39:00",198,-0.2114258,40.8092,0.35,6.4,0.35,-0.9
"2022-01-25 20:40:00",199,-0.1919022,40.82683,0.36,283.8,0.36,-0.7
"2022-01-25 20:41:00",200,-0.2439804,40.81926,0.81,233.6,0.81,-0.5
"2022-01-25 20:42:00",201,-0.2381363,40.77061,1,286.3,1,-0.6
"2022-01-25 20:43:00",202,-0.2687683,40.83339,0.03,180,0.03,-0.7
"2022-01-25 20:44:00",203,-0.2529602,40.84678,0.55,270.8,0.55,-0.4
"2022-01-25 20:45:00",204,-0.2372284,40.85102,0.57,255.1,0.57,-0.4
"2022-01-25 20:46:00",205,-0.2317505,40.89104,0.54,263.9,0.54,-0.6
"2022-01-25 20:47:00",206,-0.2599564,40.85189,0.4,172.2,0.4,-0.8
"2022-01-25 20:48:00",207,-0.2588501,40.87227,0.13,21.7,0.13,-0.8
"2022-01-25 20:49:00",208,-0.260788,40.8349,0.13,107.4,0.13,-0.9
"2022-01-25 20:50:00",209,-0.2443314,40.82655,0.21,80,0.21,-0.9
